twitter_username,name,followers_count,user_tweet_count,created_at,id,query_tweet_count
GordonRamsay,Gordon Ramsay,7476141,23763,2010-02-01T08:31:59.000Z,110365072,125456
henrygayle,Chris Gayle,4791748,14939,2009-06-07T23:42:47.000Z,45452226,24024
SeppBlatter,Joseph S Blatter,2281330,2426,2010-04-29T12:11:15.000Z,138388408,903
kenandogulu,Kenan Doğulu,2610798,1858,2009-08-28T20:17:26.000Z,69683823,1843
McIlroyRory,Rory McIlroy,3179769,3578,2010-09-07T19:51:29.000Z,188039706,41792
Garik2000,Гарик Харламов,2804488,7345,2011-07-22T19:02:28.000Z,340466920,735
gisel_la,Gisella Anastasia,2557052,15080,2009-06-19T01:17:31.000Z,48562147,467
RealPaulWalker,Paul Walker,2328225,2339,2010-09-30T14:08:40.000Z,197034645,5645
jhongsample,Jhong hilario,3529562,13507,2010-09-15T07:37:01.000Z,190955393,17828
drangelocarbone,Dr. Angelo Carbone,745430,111128,2010-09-14T20:19:09.000Z,190774889,462
Flordelav,Flor De La Ve🏳️‍⚧️,2846644,28856,2010-01-17T17:18:37.000Z,105838056,1929
IanMcKellen,Ian McKellen,4122954,2877,2010-01-14T23:29:56.000Z,104969057,38510
XianLimm,XIAN LIM,3072548,22235,2011-03-11T07:42:11.000Z,264058981,33078
SamNasri19,Samir Nasri Official,2397843,603,2010-12-26T00:37:34.000Z,230567975,1764
zairana,Zaira,2510211,15475,2009-09-16T01:50:11.000Z,74622617,1243
DeepakChopra,Deepak Chopra,3206929,81457,2008-07-24T20:41:29.000Z,15588657,26646
kingsthings,Larry King,2380313,16524,2009-03-03T21:44:20.000Z,22685200,146554
Anggun_Cipta,Anggun Official,3867094,13849,2009-03-12T18:43:36.000Z,24002803,6955
icecube,Ice Cube,5682273,8925,2009-01-28T19:47:00.000Z,19671129,225340
LaraDutta,Lara Dutta Bhupathi,3266239,4640,2009-08-17T11:34:58.000Z,66334209,5015
DAVID_LYNCH,David Lynch,3286923,917,2008-08-23T22:41:48.000Z,15962096,16040
LAAZCARATE,LAAZCARATE,4603631,6889,2010-08-09T05:37:41.000Z,176315005,51292
jeremypiven,Jeremy Piven,2245777,5441,2009-02-06T07:09:58.000Z,20221159,8899
FifthHarmony,Fifth Harmony,4620920,13380,2012-10-10T19:28:02.000Z,872374136,13117
feliciaday,Felicia Day🇺🇸,2653074,39682,2007-07-31T22:58:08.000Z,7861312,52510
ShraddhaKapoor,Shraddha,14086240,5711,2011-06-14T10:14:40.000Z,317034396,118290
TurkiAldakhil,#تركي_الدخيل,3954035,34557,2009-06-12T11:57:21.000Z,46636018,7338
biz,Biz Stone,2664197,9823,2006-03-21T20:51:43.000Z,13,13986
OscarDLeon,Oscar D' Leon,2883297,36339,2009-11-11T22:37:47.000Z,89303321,3467
TomDaley1994,Tom Daley,2317977,8877,2009-07-04T18:45:22.000Z,53732896,1743
chriscolfer,Chris Colfer,2167682,4313,2009-04-18T19:33:27.000Z,32985158,25697
TheRealAC3,Ashley Cole,2447009,1271,2012-07-22T04:12:33.000Z,710064516,3289
IAmJericho,Chris Jericho,3603065,67442,2009-06-04T02:48:33.000Z,44527648,97375
Dbolina,Dani Bolina,2424080,24635,2009-08-26T16:20:07.000Z,69023599,166
JoeyGraceffa,Joey Graceffa,3808417,27642,2008-10-15T21:19:08.000Z,16794568,34460
Joe_Sugg,Joe Sugg,4888358,22774,2009-05-05T17:31:55.000Z,37972440,3810
katedelcastillo,kate del castillo,3908500,13116,2009-04-18T02:44:02.000Z,32745368,4285
